Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Penalty_Strength,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
0,6,1,0.8,0.0,0.125,0.046875,0.1249999999999999,7.0,7.0,2934209945
0,6,1,0.8,0.0,0.125,0.046875,0.125,7.0,inf,2934209945
0,6,1,0.8,0.0,0.125,0.046875,0.125,7.0,7.0,2934209945
0,6,1,0.8,0.0,0.125,0.046875,0.125,7.0,8.0,2934209945
0,6,1,0.8,0.0,0.125,0.046875,0.125,7.0,inf,2934209945
0,6,1,0.8,0.0,0.125,0.046875,7.669297204938167e-75,inf,inf,2934209945
0,6,1,0.8,0.0,0.125,0.046875,1.3353142142474717e-66,inf,inf,2934209945
0,6,1,0.8,0.0,0.125,0.046875,1.5781506318978814e-66,inf,inf,2934209945
0,6,1,0.8,0.0,0.125,0.046875,9.4955677457598e-66,inf,inf,2934209945
0,6,1,0.8,0.0,0.125,0.046875,2.647693017635097e-65,inf,inf,2934209945
0,6,1,0.8,0.1,0.125,0.0625,0.1001393933010716,7.0,8.0,2934209945
0,6,1,0.8,0.1,0.125,0.0625,0.1453895186292584,7.0,inf,2934209945
0,6,1,0.8,0.1,0.125,0.0625,0.1463035226286498,7.0,7.0,2934209945
0,6,1,0.8,0.1,0.125,0.0625,0.1667787188285863,7.0,7.0,2934209945
0,6,1,0.8,0.1,0.125,0.0625,0.1678271879167291,7.0,8.0,2934209945
0,6,1,0.8,0.1,0.125,0.0625,1.7898469799205883e-73,inf,inf,2934209945
0,6,1,0.8,0.1,0.125,0.0625,9.4955677457598e-66,inf,inf,2934209945
0,6,1,0.8,0.1,0.125,0.0625,1.633560805463538e-65,inf,inf,2934209945
0,6,1,0.8,0.1,0.125,0.0625,2.70401128385113e-65,inf,inf,2934209945
0,6,1,0.8,0.1,0.125,0.0625,2.7529945677980055e-65,inf,inf,2934209945
0,6,1,0.8,0.3,0.125,0.0625,0.0046618784945803,3.0,inf,2934209945
0,6,1,0.8,0.3,0.125,0.0625,0.075774574642306,3.0,3.0,2934209945
0,6,1,0.8,0.3,0.125,0.0625,0.1140890273677709,3.0,4.0,2934209945
0,6,1,0.8,0.3,0.125,0.0625,0.3194948560810361,2.0,3.0,2934209945
0,6,1,0.8,0.3,0.125,0.0625,0.4810433783542529,2.0,3.0,2934209945
0,6,1,0.8,0.3,0.125,0.0625,8.106105249384007e-78,inf,inf,2934209945
0,6,1,0.8,0.3,0.125,0.0625,8.508110159190131e-67,inf,inf,2934209945
0,6,1,0.8,0.3,0.125,0.0625,2.778363551398924e-66,inf,inf,2934209945
0,6,1,0.8,0.3,0.125,0.0625,7.259077479745518e-66,inf,inf,2934209945
0,6,1,0.8,0.3,0.125,0.0625,5.934729841099874e-65,inf,inf,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.000784778511959,2.0,inf,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0028084347276817,3.0,4.0,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0302446592624682,2.0,3.0,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0820835775450134,2.0,2.0,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.8839763336578028,2.0,2.0,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0,inf,inf,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0,inf,inf,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0,inf,inf,2934209945
0,6,1,0.8,1.0,0.125,0.0625,0.0,inf,inf,2934209945
0,6,1,0.8,1.0,0.125,0.0625,2.8521937929580785e-54,inf,inf,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,6.5054339088684775e-06,3.0,inf,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,3.536048956757672e-05,2.0,inf,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,0.0014542736599285,2.0,2.0,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,0.0044467363559831,2.0,2.0,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,0.9940569139190844,2.0,2.0,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,0.0,inf,inf,2934209945
0,6,1,0.8,5.0,0.078125,0.0625,0.0,inf,inf,2934209945
